number,value,datetime_start,datetime_complete,duration,params_batch,params_dp,params_lr,params_ls,params_out_c_mult,params_out_ch,params_wd,state
14,0.4192655359274891,2026-08-12 06:23:14.077363,2026-08-12 06:24:23.806750,0 days 00:01:09.729387,64,0.2568966800170487,0.0007926698669925507,0.010763034375132416,2,32,0.0004461485242321337,COMPLETE
15,,2026-08-12 06:24:23.859903,2026-08-12 06:25:02.771898,0 days 00:00:38.911995,64,0.30259282210483684,0.0004687518037006103,0.0008648910869736293,2,32,0.0003411565751284512,FAIL
16,0.41769420379794764,2026-08-12 06:25:09.622550,2026-08-12 06:26:28.040470,0 days 00:01:18.417920,64,0.3061783400144951,0.0004461740907087978,0.026924229548620036,2,32,0.000313167661561741,COMPLETE
17,0.41344397852908604,2026-08-12 06:26:28.099817,2026-08-12 06:27:44.763468,0 days 00:01:16.663651,64,0.22212876325959222,0.0004812997768687374,0.11690494274405797,2,128,0.0003865265229304303,COMPLETE
18,,2026-08-12 06:27:44.845473,2026-08-12 06:27:53.915200,0 days 00:00:09.069727,64,0.32909427474842057,0.0005212199198208217,0.0032714866788371086,3,32,0.00017415743711315704,FAIL
19,0.4190574235999538,2026-08-12 06:27:58.860367,2026-08-12 06:29:32.892817,0 days 00:01:34.032450,64,0.32647922796318785,0.0005057013096589446,0.0033463373824270818,3,32,0.00017488261647620145,COMPLETE
20,0.41482161354222025,2026-08-12 06:29:32.946630,2026-08-12 06:30:24.799835,0 days 00:00:51.853205,256,0.16253225811682964,0.000584332544803641,0.11076956408750793,2,32,0.0009085094713213192,COMPLETE
21,0.41733421192429665,2026-08-12 06:30:24.874566,2026-08-12 06:31:44.012939,0 days 00:01:19.138373,64,0.39890689440797156,0.0003424010836949585,0.19534462298733274,3,32,0.00012094746943523806,COMPLETE
22,0.4180860566754653,2026-08-12 06:31:44.065993,2026-08-12 06:33:09.436096,0 days 00:01:25.370103,64,0.3620950834764168,0.0006688627267971372,0.07980518879537533,3,64,0.0008087941272621536,COMPLETE
23,0.41751454447522285,2026-08-12 06:33:09.490902,2026-08-12 06:34:40.389463,0 days 00:01:30.898561,64,0.2712259697063238,0.00035840974660638356,0.29824746881365993,2,128,0.00020100724459348206,COMPLETE
