recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion x,quaternion y,quaternion z,quaternion w
bb09b488-e875-448b-9801-156d15b3962c,1775725052016453338,0.28038025,8.7070465,-24.003983,-0.105957024,-0.50683594,0.8393554,5.672380353323969,-31.664541426119897,10.07383326519997,-0.2756152,0.023495954,0.07091619,0.9583606
bb09b488-e875-448b-9801-156d15b3962c,1775725052026664338,-0.14686584,8.947372,-23.27156,-0.11669921,-0.50683594,0.8496093,5.636602788325101,-31.675204479305346,9.93974737437823,-0.27565467,0.023510206,0.069874205,0.95842546
bb09b488-e875-448b-9801-156d15b3962c,1775725052036875338,-0.3299713,8.275986,-22.176743,-0.11035156,-0.50878906,0.84912103,5.602396069454411,-31.688862252815184,9.81563507137,-0.27572244,0.023511244,0.06891002,0.9584757
bb09b488-e875-448b-9801-156d15b3962c,1775725052045489338,-0.6351471,7.604599,-20.89119,-0.10156249,-0.52783203,0.8764648,5.572061937338625,-31.703796543955914,9.706336412438148,-0.27580652,0.023508161,0.06805968,0.95851237
bb09b488-e875-448b-9801-156d15b3962c,1775725052054104338,-0.69618225,6.937027,-19.670486,-0.11035156,-0.5307617,0.8764648,5.538399411363803,-31.720488946147764,9.558331989357367,-0.2758956,0.02356919,0.06689258,0.9585674
bb09b488-e875-448b-9801-156d15b3962c,1775725052062719338,-0.45013428,6.263733,-18.632889,-0.105957024,-0.5024414,0.87451166,5.505433793132824,-31.736078555039004,9.444017009857081,-0.2759831,0.023556089,0.06600633,0.958604
bb09b488-e875-448b-9801-156d15b3962c,1775725052071334338,-0.6351471,6.811142,-17.599106,-0.08154297,-0.5253906,0.8754882,5.48107314191405,-31.744371555515215,9.382245031274525,-0.27602565,0.023494434,0.06554331,0.958625
bb09b488-e875-448b-9801-156d15b3962c,1775725052081564338,-0.69618225,6.2656403,-16.313553,-0.10498047,-0.5102539,0.86718744,5.44786730417739,-31.75566928700273,9.320025799016367,-0.2760883,0.023357531,0.065096095,0.95864075
bb09b488-e875-448b-9801-156d15b3962c,1775725052091794338,-1.001358,6.1397552,-15.642166,-0.10986328,-0.5161133,0.8710937,5.4274748090287614,-31.76675054280814,9.27354874215953,-0.2761598,0.023290146,0.06474988,0.9586453
bb09b488-e875-448b-9801-156d15b3962c,1775725052102024338,-0.8773804,6.263733,-14.665604,-0.11279296,-0.5214844,0.8657226,5.4117513162535476,-31.778831448035863,9.239043140106816,-0.27624476,0.023232244,0.06449201,0.95863956
bb09b488-e875-448b-9801-156d15b3962c,1775725052112207338,-0.51116943,6.0806274,-12.838364,-0.08984374,-0.5288086,0.883789,5.391082136693278,-31.79630632294666,9.151052316616804,-0.27636123,0.02325779,0.06379551,0.958652
bb09b488-e875-448b-9801-156d15b3962c,1775725052122391338,-0.5722046,6.0195923,-12.468338,-0.08398437,-0.5126953,0.88769525,5.3797174351268815,-31.79801274654053,9.134163880060207,-0.27636573,0.023202114,0.063680634,0.9586597
bb09b488-e875-448b-9801-156d15b3962c,1775725052132575338,-0.32806396,5.897522,-11.919022,-0.09277343,-0.5234375,0.902832,5.372792480582791,-31.797589226455113,9.122967963116228,-0.27635607,0.02317151,0.063603915,0.9586683
bb09b488-e875-448b-9801-156d15b3962c,1775725052140263338,-0.32806396,5.897522,-10.820389,-0.07324218,-0.5209961,0.883789,5.370655974288105,-31.795131996849275,9.116771707690475,-0.27633312,0.023170492,0.06355866,0.95867795
bb09b488-e875-448b-9801-156d15b3962c,1775725052147950338,0.16021729,5.7754517,-10.087967,-0.095214844,-0.5161133,0.8833007,5.363259908902009,-31.789285824090655,9.102246241848551,-0.27627727,0.023148183,0.06345837,0.9587012
bb09b488-e875-448b-9801-156d15b3962c,1775725052155637338,-0.08392334,5.592346,-9.599686,-0.09472656,-0.51220703,0.87207025,5.362808156690912,-31.78973973219171,9.09091409821633,-0.27627853,0.023171373,0.06336439,0.9587065
bb09b488-e875-448b-9801-156d15b3962c,1775725052163324338,0.038146973,4.798889,-9.477615,-0.08544922,-0.5205078,0.871582,5.358917035807372,-31.788482689410237,9.077705628388111,-0.2762632,0.023171637,0.06326399,0.9587175
bb09b488-e875-448b-9801-156d15b3962c,1775725052174965338,-0.022888184,4.432678,-8.684158,-0.08544921,-0.49853516,0.8623046,5.350325145048573,-31.782652098704418,9.076122444855102,-0.27620947,0.023108087,0.06327484,0.95873386
bb09b488-e875-448b-9801-156d15b3962c,1775725052186606338,-0.2670288,4.310608,-8.501053,-0.078125,-0.5151367,0.86718744,5.343446161027075,-31.778151383885902,9.091154291760926,-0.27617112,0.023017792,0.06341979,0.9587375
bb09b488-e875-448b-9801-156d15b3962c,1775725052198247338,-0.9384155,4.1275024,-7.9517365,-0.080566406,-0.52001953,0.8784179,5.336024855772169,-31.78330184848476,9.095335811412912,-0.27621084,0.022941628,0.06346968,0.95872456
bb09b488-e875-448b-9801-156d15b3962c,1775725052208464338,-1.2435913,4.005432,-7.1582794,-0.08789062,-0.5180664,0.85937494,5.332762340243534,-31.794901754847924,9.12938125008242,-0.27631268,0.022823244,0.06375566,0.9586791
bb09b488-e875-448b-9801-156d15b3962c,1775725052218681338,-1.121521,4.310608,-7.2193146,-0.076171875,-0.5053711,0.87207025,5.326428336794635,-31.798464987435302,9.110498197246942,-0.27633515,0.022813018,0.0636109,0.9586825
bb09b488-e875-448b-9801-156d15b3962c,1775725052228898338,-1.5487671,4.676819,-7.101059,-0.080078125,-0.5151367,0.86914057,5.329367164312764,-31.80816631636011,9.111696866339054,-0.276418,0.022827178,0.06360822,0.9586584
bb09b488-e875-448b-9801-156d15b3962c,1775725052239387338,-1.0604858,5.104065,-6.669998,-0.07421875,-0.51953125,0.8896484,5.334950661534616,-31.814987197490723,9.14571030078952,-0.27648482,0.022786524,0.06387535,0.95862234
bb09b488-e875-448b-9801-156d15b3962c,1775725052249875338,-0.9384155,4.5547485,-6.4868927,-0.07324218,-0.5078125,0.8867187,5.334132293706374,-31.820101947217754,9.172652081396738,-0.2765324,0.022710677,0.06409974,0.95859545
bb09b488-e875-448b-9801-156d15b3962c,1775725052260363338,-0.45204163,4.491806,-6.8531036,-0.06542969,-0.51416016,0.8808593,5.333304435036103,-31.816451346720644,9.189532161670327,-0.2765048,0.022665873,0.06424506,0.95859474
bb09b488-e875-448b-9801-156d15b3962c,1775725052268772338,0.22125244,4.2495728,-6.4868927,-0.07958984,-0.5175781,0.87988275,5.3330899308080895,-31.80062105123056,9.228065332414566,-0.27638015,0.02258353,0.06457712,0.9586103
bb09b488-e875-448b-9801-156d15b3962c,1775725052277182338,0.46539307,4.1275024,-6.669998,-0.06787109,-0.5078125,0.86425775,5.330766516823094,-31.795077856116908,9.280437606893695,-0.27634287,0.02244215,0.06502406,0.9585942
