recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
bb09b488-e875-448b-9801-156d15b3962c,51,1775725083973309338,1775725084513807338,540.498,7.4027524,2295.3467,8082.7188
bb09b488-e875-448b-9801-156d15b3962c,52,1775725084613931338,1775725084658931338,45.0,1.4337726,1079.5316,1769.4929
bb09b488-e875-448b-9801-156d15b3962c,53,1775725084739056338,1775725084974316338,235.26,11.915991,2196.7515,6057.4175
bb09b488-e875-448b-9801-156d15b3962c,54,1775725085059305338,1775725085985176338,925.871,6.5669336,2697.8289,12828.309
bb09b488-e875-448b-9801-156d15b3962c,55,1775725086075301338,1775725086140439338,65.138,1.3505071,1578.3187,2147.2078
bb09b488-e875-448b-9801-156d15b3962c,56,1775725086220425338,1775725087351546338,1131.121,12.751581,2693.9448,9315.964
bb09b488-e875-448b-9801-156d15b3962c,57,1775725087551670338,1775725087576670338,25.0,1.6625552,1146.7354,1702.2856
bb09b488-e875-448b-9801-156d15b3962c,58,1775725087756919338,1775725087776919338,20.0,1.7015629,1246.1526,1739.3978
bb09b488-e875-448b-9801-156d15b3962c,59,1775725087871919338,1775725088157292338,285.373,1.6017779,2292.645,5286.9023
bb09b488-e875-448b-9801-156d15b3962c,60,1775725088262292338,1775725088742797338,480.505,14.550444,2214.7903,9134.828
bb09b488-e875-448b-9801-156d15b3962c,61,1775725088837915338,1775725089208163338,370.248,1.9927564,1433.7339,2580.911
bb09b488-e875-448b-9801-156d15b3962c,62,1775725089288288338,1775725089573540338,285.252,21.957077,2266.1472,8470.052
bb09b488-e875-448b-9801-156d15b3962c,63,1775725089978910338,1775725090104047338,125.137,22.80326,3473.5786,8112.272
bb09b488-e875-448b-9801-156d15b3962c,64,1775725090234159338,1775725090504410338,270.251,1.9658343,1281.2391,2481.1606
bb09b488-e875-448b-9801-156d15b3962c,65,1775725090594533338,1775725090614533338,20.0,0.5460704,1119.3396,1641.8192
bb09b488-e875-448b-9801-156d15b3962c,66,1775725090824662338,1775725090839782338,15.12,1.1602547,1356.3799,2161.5505
bb09b488-e875-448b-9801-156d15b3962c,67,1775725090949782338,1775725090974906338,25.124,0.7019625,1110.884,1837.968
bb09b488-e875-448b-9801-156d15b3962c,68,1775725091105031338,1775725091180031338,75.0,0.9791736,1156.1757,1853.7418
bb09b488-e875-448b-9801-156d15b3962c,69,1775725091410280338,1775725091690529338,280.249,0.30108967,1188.072,2339.643
bb09b488-e875-448b-9801-156d15b3962c,70,1775725091770654338,1775725091905778338,135.124,1.1350231,1218.9373,2254.529
bb09b488-e875-448b-9801-156d15b3962c,71,1775725092015781338,1775725092090902338,75.121,1.1291364,1414.5466,2989.5056
