number,value,datetime_start,datetime_complete,duration,params_accumulation,params_batch,params_dp,params_h_size,params_lr,params_ls,params_n_layers,params_out_ch,params_out_ch_mult,params_wd,state
14,0.5158629477008563,2026-08-22 19:46:23.024008,2026-08-22 19:53:31.109732,0 days 00:07:08.085724,4,128,0.2249786713860707,128,5.18603759809148e-05,0.33721275784593524,3,64,1,0.00011244738777524537,COMPLETE
15,0.5262670950941118,2026-08-22 19:53:31.160302,2026-08-22 19:57:45.680591,0 days 00:04:14.520289,4,256,0.2455422288919466,64,0.00011858722830151958,0.3970175472013131,3,64,1,0.00016293423342272694,COMPLETE
16,0.5259850161294568,2026-08-22 19:57:45.734473,2026-08-22 20:02:17.442238,0 days 00:04:31.707765,4,256,0.2199136054843707,64,6.10979438548789e-05,0.3802069135551502,3,64,1,0.0001767466798463287,COMPLETE
17,0.5084474593814646,2026-08-22 20:02:17.489280,2026-08-22 20:07:45.180585,0 days 00:05:27.691305,4,256,0.21801715946138067,64,8.763453763693139e-05,0.30309278873186896,3,32,1,0.00017638193847407626,COMPLETE
18,0.5038041378757717,2026-08-22 20:07:45.226948,2026-08-22 20:12:07.581378,0 days 00:04:22.354430,1,256,0.21290109930982182,128,0.00011786692213637014,0.3705622873801923,3,128,1,0.0001710895496030527,COMPLETE
19,0.49689156990212796,2026-08-22 20:12:07.630170,2026-08-22 20:16:51.973246,0 days 00:04:44.343076,2,256,0.24946875746522373,32,6.413650384671314e-05,0.3064276963062693,3,64,1,0.00016842805584079884,COMPLETE
20,0.5073999932476295,2026-08-22 20:16:52.019984,2026-08-22 20:21:20.568763,0 days 00:04:28.548779,4,256,0.2993849145688533,64,8.947280182176148e-05,0.4876896730768102,3,64,1,0.00018811811546234759,COMPLETE
21,0.5092714489827788,2026-08-22 20:21:20.617228,2026-08-22 20:25:27.019238,0 days 00:04:06.402010,4,256,0.2350357750423658,64,5.773923909680823e-05,0.40644547967884653,3,64,1,0.00015777182198649473,COMPLETE
22,0.5174263042802877,2026-08-22 20:25:27.066497,2026-08-22 20:29:55.262547,0 days 00:04:28.196050,4,256,0.2281331246903059,64,5.004189101267456e-05,0.3709204212880973,3,64,1,0.0001515480921969105,COMPLETE
23,0.5061568393809303,2026-08-22 20:29:55.309919,2026-08-22 20:34:43.379102,0 days 00:04:48.069183,4,256,0.2425135173760726,64,5.6972424912983484e-05,0.4235342424132243,3,64,1,0.00018277241946506865,COMPLETE
24,0.5063528904116522,2026-08-22 20:34:43.425625,2026-08-22 20:39:36.921235,0 days 00:04:53.495610,4,256,0.2580887167145328,64,6.84568178851079e-05,0.4656925273416041,3,64,1,0.0001285717345655094,COMPLETE
25,0.5079579326386671,2026-08-22 20:39:36.968349,2026-08-22 20:46:25.227996,0 days 00:06:48.259647,4,128,0.2130372615951859,64,5.577094637715954e-05,0.3713932313741122,3,64,1,0.0001978971219752786,COMPLETE
26,0.49888425488907906,2026-08-22 20:46:25.274760,2026-08-22 20:50:33.336063,0 days 00:04:08.061303,4,256,0.23756226393198768,64,7.026684894262949e-05,0.3857357124927019,3,256,1,0.0001611723278947844,COMPLETE
27,0.5267974740357356,2026-08-22 20:50:33.373012,2026-08-22 20:54:38.792987,0 days 00:04:05.419975,4,256,0.21984739252847973,64,8.343609005013402e-05,0.41952184361945116,3,128,1,0.00010420908890729361,COMPLETE
28,0.5106834798199706,2026-08-22 20:54:38.846206,2026-08-22 20:59:27.506079,0 days 00:04:48.659873,1,256,0.20917809749542876,32,8.512148229135114e-05,0.3565638715281947,3,128,1,0.00014485035583343238,COMPLETE
29,0.5122160628954754,2026-08-22 20:59:27.553185,2026-08-22 21:04:33.067347,0 days 00:05:05.514162,2,256,0.22291206857415208,128,0.00011950253639819502,0.3142355866532685,3,128,1,0.00012919075928655564,COMPLETE
30,0.5063507476790509,2026-08-22 21:04:33.114840,2026-08-22 21:11:38.592049,0 days 00:07:05.477209,2,128,0.20160282721208062,128,9.698757205289665e-05,0.27766509653346405,3,128,1,0.00019543597970046923,COMPLETE
31,0.530683071617674,2026-08-22 21:11:38.640746,2026-08-22 21:15:54.333097,0 days 00:04:15.692351,4,256,0.22957011312597828,64,6.182547797173259e-05,0.41650567636849184,3,128,1,0.00010639661873378528,COMPLETE
32,0.5028831410114475,2026-08-22 21:15:54.389941,2026-08-22 21:20:35.710484,0 days 00:04:41.320543,4,256,0.21808069179262582,64,6.586690423547748e-05,0.4321356908469216,3,128,1,0.00010654713055070498,COMPLETE
33,0.514013484641186,2026-08-22 21:20:35.759315,2026-08-22 21:25:11.438224,0 days 00:04:35.678909,4,256,0.22827786092108532,64,6.068580105473626e-05,0.47273457772776906,3,128,1,0.0001357334976206737,COMPLETE
34,0.5081460048858165,2026-08-22 21:25:11.487207,2026-08-22 21:28:49.153578,0 days 00:03:37.666371,4,256,0.2087745833623018,64,8.131796517427314e-05,0.4173647137691602,2,128,1,0.0001219193714825825,COMPLETE
35,0.5121404105108417,2026-08-22 21:28:49.202789,2026-08-22 21:33:08.709462,0 days 00:04:19.506673,4,256,0.22291106041086917,64,7.053642613886815e-05,0.3866424065453221,3,128,1,0.00010537005129011433,COMPLETE
