number,value,datetime_start,datetime_complete,duration,params_accumulation,params_batch,params_dp,params_h_size,params_lr,params_ls,params_n_layers,params_out_ch,params_out_ch_mult,params_wd,state
0,0.5147680602040497,2026-08-22 18:00:43.374049,2026-08-22 18:04:57.637746,0 days 00:04:14.263697,2,256,0.2017730865962205,128,6.291730244135888e-05,0.21309166486620157,3,128,1,0.00014216961696986483,COMPLETE
1,0.511268954623621,2026-08-22 18:04:57.695158,2026-08-22 18:08:45.246999,0 days 00:03:47.551841,2,256,0.2188227137168552,64,0.00011175164899899666,0.24891515567098355,2,64,1,0.00014073405392646653,COMPLETE
2,0.49651806031729007,2026-08-22 18:08:45.294166,2026-08-22 18:13:28.031917,0 days 00:04:42.737751,4,256,0.2869197263883793,64,7.748340966839161e-05,0.3467118889872456,2,256,1,9.625170089055544e-05,COMPLETE
3,0.5209280450617917,2026-08-22 18:13:28.079291,2026-08-22 18:17:26.716204,0 days 00:03:58.636913,4,256,0.23392678580306953,64,5.100885101979345e-05,0.4074261372478759,3,64,1,0.00010441777607982375,COMPLETE
4,0.5120250599567755,2026-08-22 18:17:26.770605,2026-08-22 18:23:44.366808,0 days 00:06:17.596203,2,128,0.27509737231190784,64,0.0001373160202505265,0.2023039111647885,3,256,1,9.24720382969206e-05,COMPLETE
5,0.50380309409615,2026-08-22 18:23:44.402944,2026-08-22 18:35:27.023820,0 days 00:11:42.620876,4,64,0.27880511952535914,32,7.707363640858948e-05,0.44429139940237034,3,32,1,0.0001299752420840309,COMPLETE
6,0.49954521268971547,2026-08-22 18:35:27.074113,2026-08-22 18:47:48.174203,0 days 00:12:21.100090,1,64,0.2693498697543659,128,0.00010091247284897124,0.22717222012294838,2,256,1,9.763136139157721e-05,COMPLETE
7,0.5191191175412969,2026-08-22 18:47:48.228163,2026-08-22 18:58:08.164656,0 days 00:10:19.936493,4,64,0.2556908565605901,64,0.0001324697616181892,0.45267247924485415,2,64,1,9.008347371674866e-05,COMPLETE
8,0.5082663507708036,2026-08-22 18:58:08.211391,2026-08-22 19:01:32.393308,0 days 00:03:24.181917,1,256,0.2599002134322615,64,7.453820812724266e-05,0.39211612224572634,2,64,1,0.00020988477804513754,COMPLETE
9,0.4978036457059318,2026-08-22 19:01:32.440252,2026-08-22 19:06:01.843853,0 days 00:04:29.403601,1,256,0.20289466645713775,32,6.147594609846631e-05,0.2481097853296665,3,64,1,0.00010021881000400832,COMPLETE
10,0.5101110385415344,2026-08-22 19:06:01.890682,2026-08-22 19:13:47.092232,0 days 00:07:45.201550,4,128,0.2324864987210313,32,5.236710831604984e-05,0.3266218824041402,3,32,1,0.00020510315250709307,COMPLETE
11,0.5026533302212953,2026-08-22 19:13:47.139543,2026-08-22 19:23:31.087521,0 days 00:09:43.947978,4,64,0.24652698948668872,64,0.00010398161680295109,0.49798844285089783,2,64,1,0.00011665097659214937,COMPLETE
12,0.5195561764890366,2026-08-22 19:23:31.137311,2026-08-22 19:33:52.260965,0 days 00:10:21.123654,4,64,0.24409416990681818,64,0.000137122247416169,0.433234128637775,3,64,1,0.00011624335797665708,COMPLETE
13,0.5054184507239045,2026-08-22 19:33:52.307747,2026-08-22 19:46:22.974135,0 days 00:12:30.666388,4,64,0.23559507759669568,64,9.016366171679236e-05,0.40265196891941024,3,128,1,0.00011315291409060566,COMPLETE
