number,value,datetime_start,datetime_complete,duration,params_accumulation,params_batch,params_dp,params_h_size,params_lr,params_ls,params_n_layers,params_out_ch,params_out_ch_mult,params_wd,state
27,0.4956765739159932,2026-08-24 19:18:13.213721,2026-08-24 19:31:09.665125,0 days 00:12:56.451404,1,128,0.052306323001827866,128,5.0013635454581747e-05,0.21130296325014133,3,256,2,8.499087250228797e-05,COMPLETE
28,0.5057459803185974,2026-08-24 19:31:09.732831,2026-08-24 19:49:17.458124,0 days 00:18:07.725293,1,64,0.07053101276932534,128,5.2048831320482946e-05,0.1741683067318215,2,256,2,9.244338546209076e-05,COMPLETE
29,0.5127605049939176,2026-08-24 19:49:17.505297,2026-08-24 20:05:49.050761,0 days 00:16:31.545464,1,64,0.08222011254300539,128,6.260614326536069e-05,0.14228723508178268,2,256,2,9.751251838115787e-05,COMPLETE
30,0.5038251185301378,2026-08-24 20:05:49.098051,2026-08-24 20:23:10.612032,0 days 00:17:21.513981,1,64,0.09190312731139376,128,7.616098639756488e-05,0.13867518007900168,2,256,2,0.00010296445313212934,COMPLETE
31,0.4889532483688878,2026-08-24 20:23:10.659571,2026-08-24 20:43:30.177854,0 days 00:20:19.518283,1,64,0.08209026385546915,64,6.167743465134072e-05,0.14135172228307893,2,256,2,9.759143034416286e-05,COMPLETE
32,0.5040337755413741,2026-08-24 20:43:30.224758,2026-08-24 21:00:55.423012,0 days 00:17:25.198254,1,64,0.0875721095746495,128,5.3508129329488426e-05,0.2418398805374554,2,256,2,0.00010177062588868331,COMPLETE
33,,2026-08-24 21:00:55.470375,2026-08-24 21:01:56.692597,0 days 00:01:01.222222,1,64,0.07893255295656727,128,6.916076702950791e-05,0.24061866213805103,2,256,2,9.571234564280335e-05,FAIL
34,0.5082285814415488,2026-08-24 21:02:07.847854,2026-08-24 21:19:58.696484,0 days 00:17:50.848630,1,64,0.07543723673349759,128,6.819397747214966e-05,0.24374217468548104,2,256,2,9.626048418639767e-05,COMPLETE
35,0.5087297937503847,2026-08-24 21:19:58.763214,2026-08-24 21:37:50.076615,0 days 00:17:51.313401,1,64,0.09478320927449319,128,6.90835657399646e-05,0.2803812713813584,2,256,2,9.796064102501119e-05,COMPLETE
36,0.5020615836039919,2026-08-24 21:37:50.129356,2026-08-24 21:55:24.284068,0 days 00:17:34.154712,1,64,0.10231114429088213,128,7.507124506512028e-05,0.27941995708088546,2,256,2,0.00010223012266482765,COMPLETE
37,0.499157762705093,2026-08-24 21:55:24.337420,2026-08-24 22:13:15.841143,0 days 00:17:51.503723,1,64,0.09591091601174914,64,6.382932345849274e-05,0.31631990956997164,2,64,2,9.993289314257424e-05,COMPLETE
38,0.5048889111474673,2026-08-24 22:13:15.890388,2026-08-24 22:23:26.271425,0 days 00:10:10.381037,1,128,0.10569703234318663,128,6.920065212245375e-05,0.2817167608086077,2,256,2,8.694595062004338e-05,COMPLETE
39,0.515244207268362,2026-08-24 22:23:26.320228,2026-08-24 22:40:17.911265,0 days 00:16:51.591037,1,64,0.09484922529599855,128,6.531043608504866e-05,0.3320948079353587,2,64,2,9.001141505747301e-05,COMPLETE
40,0.5104603640736723,2026-08-24 22:40:17.966880,2026-08-24 22:56:52.784583,0 days 00:16:34.817703,4,64,0.08086681863767373,64,6.592505179844813e-05,0.2935398492909731,1,64,2,8.956980326538972e-05,COMPLETE
41,0.5005526598898061,2026-08-24 22:56:52.832888,2026-08-24 23:07:13.954842,0 days 00:10:21.121954,4,128,0.06616393023461845,64,6.596811381014569e-05,0.3512277462922854,1,64,2,8.939404385458028e-05,COMPLETE
42,0.5076744215669388,2026-08-24 23:07:14.002777,2026-08-24 23:22:32.453579,0 days 00:15:18.450802,4,64,0.08426591819623408,64,6.460860612901615e-05,0.32807355758871426,1,64,2,9.16579763464041e-05,COMPLETE
43,0.484220169163513,2026-08-24 23:22:32.501054,2026-08-24 23:38:47.130756,0 days 00:16:14.629702,4,64,0.09538749993021678,64,6.152418079522844e-05,0.3352062737464582,1,64,2,9.714296198866497e-05,COMPLETE
44,0.49378207377731265,2026-08-24 23:38:47.178425,2026-08-24 23:53:20.637596,0 days 00:14:33.459171,4,64,0.07147524404549409,64,6.687299688753879e-05,0.3028743257898178,1,64,2,9.94779296403854e-05,COMPLETE
45,0.49972201272568056,2026-08-24 23:53:20.685900,2026-08-25 00:08:06.700987,0 days 00:14:46.015087,1,64,0.0805374415309646,64,6.342505164289276e-05,0.3340595670414236,1,64,2,9.377197977217856e-05,COMPLETE
46,0.4878277300785772,2026-08-25 00:08:06.750338,2026-08-25 00:15:59.717118,0 days 00:07:52.966780,4,256,0.08679857451308311,128,5.9864081312924975e-05,0.2880575208838978,2,64,2,9.779783020385638e-05,COMPLETE
47,0.5125367389784681,2026-08-25 00:15:59.766255,2026-08-25 00:29:40.439737,0 days 00:13:40.673482,1,64,0.06686633424141786,128,7.080980043433507e-05,0.31600575011698195,1,32,2,8.888183341559033e-05,COMPLETE
48,0.48945711928348673,2026-08-25 00:29:40.487798,2026-08-25 00:44:05.285711,0 days 00:14:24.797913,4,64,0.06742967815224024,64,7.282708919289184e-05,0.3170715036077585,1,32,2,8.870360759615902e-05,COMPLETE
49,0.496192473047666,2026-08-25 00:44:05.334468,2026-08-25 00:50:33.576448,0 days 00:06:28.241980,1,256,0.06479794067637598,128,6.682159697168746e-05,0.34351480783474875,1,32,2,8.581414400081776e-05,COMPLETE
50,0.5066304210224651,2026-08-25 00:50:33.624170,2026-08-25 01:07:03.323070,0 days 00:16:29.698900,1,64,0.058778481841106164,32,5.827982433519476e-05,0.3049886798404104,1,32,2,9.035459340347757e-05,COMPLETE
51,0.5027621930252794,2026-08-25 01:07:03.371982,2026-08-25 01:16:13.993961,0 days 00:09:10.621979,4,128,0.07950869579661095,128,7.023913451572307e-05,0.32443627211432735,1,32,2,8.364214607518207e-05,COMPLETE
52,0.5103137568357689,2026-08-25 01:16:14.042522,2026-08-25 01:31:17.412850,0 days 00:15:03.370328,1,64,0.06236885028329324,64,6.540432928456268e-05,0.12216600383750022,1,64,2,8.022731988281192e-05,COMPLETE
53,0.49745898482008033,2026-08-25 01:31:17.460083,2026-08-25 01:46:52.288319,0 days 00:15:34.828236,1,64,0.06413470812011582,64,6.522697542581289e-05,0.12026089448506568,1,64,2,8.054423863643373e-05,COMPLETE
54,0.5011314562481533,2026-08-25 01:46:52.336758,2026-08-25 02:01:41.136344,0 days 00:14:48.799586,1,64,0.0610086271435036,64,7.456011057174793e-05,0.1261822398251698,1,64,2,8.059727107802332e-05,COMPLETE
55,0.4970141663492915,2026-08-25 02:01:41.183478,2026-08-25 02:16:12.235800,0 days 00:14:31.052322,1,64,0.06920732521971132,64,6.746441068351366e-05,0.15572266213031757,1,64,2,9.186611903279831e-05,COMPLETE
56,0.49696042364272797,2026-08-25 02:16:12.283108,2026-08-25 02:30:32.536836,0 days 00:14:20.253728,1,64,0.055599366408135925,64,6.0978346792948184e-05,0.1062972258445567,1,64,2,8.617604124443256e-05,COMPLETE
57,0.4913048001029259,2026-08-25 02:30:32.585516,2026-08-25 02:46:23.646198,0 days 00:15:51.060682,1,64,0.07326716866901441,32,7.013046690016041e-05,0.12656570387658223,1,128,2,8.801386898844972e-05,COMPLETE
58,0.49985872892011074,2026-08-25 02:46:23.694691,2026-08-25 02:52:22.142616,0 days 00:05:58.447925,1,256,0.12394156158287495,128,6.315034726036744e-05,0.14025214084320312,1,32,2,7.936524039242391e-05,COMPLETE
59,0.5023255306533393,2026-08-25 02:52:22.191684,2026-08-25 03:09:40.602768,0 days 00:17:18.411084,1,64,0.0882861015669869,128,6.436453912497604e-05,0.11707074913358997,2,64,2,8.981577039016736e-05,COMPLETE
60,0.4996474306010468,2026-08-25 03:09:40.653359,2026-08-25 03:24:41.220871,0 days 00:15:00.567512,4,64,0.07805723436625712,64,7.283687888981835e-05,0.301124307909429,1,64,2,8.290193306320185e-05,COMPLETE
61,0.4967468603541967,2026-08-25 03:24:41.268563,2026-08-25 03:42:46.265793,0 days 00:18:04.997230,1,64,0.0833363032128091,128,6.51312282146205e-05,0.17003762205312448,2,128,2,7.950141220982713e-05,COMPLETE
